Horizon,Model,Mean Return (%),Total Return (%),Std Return (%),Median Return (%),Mean Sharpe,Mean Accuracy (%),Mean F1 Score,Positive Windows,Negative Windows,Total Windows
28day,lstm,10.048799113323703,154.1397798789349,22.135538324995423,2.8499551469132633,0.9119370620021404,50.555555555555564,0.5368968921407308,6,6,12
28day,transformer,9.709780785221762,144.66334990071542,22.19303260573635,-1.0080645560360313,0.9092563529382587,51.94444444444445,0.5263817171916152,5,7,12
28day,ensemble_traditional,9.516857889441221,139.3975815722628,22.213644814796428,-1.2518579525734264,0.8894213037431141,54.30555555555555,0.5524947715933181,5,7,12
28day,xgboost,9.343234948352707,134.36902977460593,22.301654277860273,-1.9370372310612005,0.8627071873575728,54.99999999999999,0.5640123611741391,5,7,12
28day,buy_and_hold,9.644538965220239,133.48897488255832,24.034373947413474,2.7707555131392003,0.877407905635413,50.0,0.5,6,6,12
28day,lightgbm,9.263711082639826,131.88169505722334,22.38114516655277,-1.9370372310612005,0.8500529448772566,52.63888888888889,0.5327508024792391,5,7,12
28day,lstm_60day,1.447039025217627,18.42172160472213,2.4021484213969773,0.6149821968320368,0.41129122215499475,44.44444444444444,0.3833333333333333,7,2,12
28day,transformer_60day,0.5809300510715737,6.866669940441872,2.307757171581766,0.0,-3.1495011818977727,38.88888888888889,0.2333333333333333,4,3,12
60day,xgboost,11.17492518513513,190.30469397508898,21.6839848073713,7.6774977413221706,1.0405995624360374,55.13888888888891,0.5076656036681451,7,5,12
60day,ensemble_traditional,11.03301446388749,184.58822437246107,21.850063611318795,7.6774977413221706,1.023662100456142,56.25,0.5075198330250273,7,5,12
60day,lstm,10.603806143912077,171.5283382724993,21.896067067858578,4.471390282931265,0.9924035027248657,57.77777777777777,0.458426252329802,7,5,12
60day,buy_and_hold,9.644538965220239,133.48897488255832,24.034373947413474,2.7707555131392003,0.877407905635413,50.0,0.5,6,6,12
60day,transformer,9.450263842826363,133.4634351776416,22.81914201144405,2.8499551469132633,0.7963767967561988,58.194444444444436,0.46399828871495524,6,6,12
60day,lightgbm,9.323799306072477,132.90651899289904,22.447183623023058,-1.1922746051388489,0.7937909129192784,55.69444444444444,0.5308224096810646,5,7,12
60day,random_forest,8.878809140687055,117.79989087488146,23.097032557318,2.8499551469132633,0.7096223226873155,53.75,0.5329235352755087,6,6,12
7day,lightgbm,9.791002877193126,136.79059231248266,24.278285822559848,2.632217737482212,0.8530083291037275,50.000000000000014,0.5802118579887139,6,6,12
7day,buy_and_hold,9.644538965220239,133.48897488255832,24.034373947413474,2.7707555131392003,0.877407905635413,50.0,0.5,6,6,12
7day,lstm,8.957777464857452,118.40550062927618,23.766670171644286,-1.9109812439548568,0.8087563475295981,52.083333333333336,0.571655783105759,5,7,12
7day,ensemble_traditional,8.976423819652519,116.28671436848875,24.31543159087805,-1.9109812439548568,0.7897699251541151,51.25000000000001,0.5787715366432428,5,7,12
7day,transformer,8.696411007549914,108.12844525725195,24.695794583206364,-1.9109812439548568,0.7489334233602586,50.83333333333334,0.5558729915138202,5,7,12
7day,random_forest,8.07311863253603,102.86083095167196,22.098489521731782,-1.4370157495365743,0.7433127893032548,52.08333333333333,0.5917621138701975,5,7,12
7day,xgboost,6.736352072456166,85.02288331052897,18.529460335455504,2.632217737482212,0.6704693087123568,47.91666666666667,0.5412564468992279,6,6,12
7day,transformer_60day,5.368600841418598,70.07384495833182,13.745482695644611,0.0,0.16872567850848585,57.638888888888886,0.5217449363128459,5,5,12
7day,lstm_60day,-1.8029371540040706,-20.492105021953076,4.052422035705158,0.0,-0.678315446539573,36.80555555555555,0.12267801857585141,0,3,12
